y_true,y_pred
47,41
40,45
30,23
19,36
58,31
43,32
24,36
26,36
53,65
38,38
28,33
38,34
58,18
33,41
66,46
30,33
18,20
35,23
61,35
74,37
46,40
56,45
28,31
37,37
37,40
28,43
26,30
24,35
70,34
47,42
69,23
24,30
31,38
28,34
51,33
49,31
34,34
29,37
48,42
40,35
50,31
39,34
25,33
30,40
28,79
56,30
37,35
34,31
32,23
28,43
27,22
33,19
52,17
24,38
35,34
35,37
39,26
19,37
59,35
25,33
26,30
32,22
44,36
58,43
29,21
38,23
39,20
33,24
36,27
37,31
24,31
35,30
24,25
35,76
57,38
25,90
22,23
30,26
52,40
72,31
38,37
48,35
58,36
49,33
41,37
29,25
23,43
51,38
46,34
43,25
53,33
26,39
44,28
73,17
40,23
22,84
59,33
24,36
51,31
37,31
54,30
68,43
25,38
26,32
31,22
29,23
51,45
41,36
28,35
30,25
24,36
43,36
30,20
28,29
27,30
64,43
20,31
37,20
31,23
47,33
52,23
44,47
30,27
51,45
24,33
40,33
18,36
40,48
37,23
23,36
19,29
69,43
26,21
46,33
31,31
65,37
39,83
44,30
35,23
75,30
52,39
66,42
34,39
61,41
41,28
39,23
27,31
66,23
33,42
57,37
35,36
42,31
48,18
40,36
30,42
32,66
35,34
23,22
59,39
26,35
28,60
26,45
31,25
34,33
25,41
38,29
49,34
52,34
19,28
42,35
47,27
22,33
49,23
25,33
75,20
52,32
45,39
32,31
37,43
32,38
30,38
49,50
27,36
47,30
57,31
33,38
31,27
21,25
23,60
61,33
28,47
43,34
49,31
45,21
50,85
23,23
76,28
32,30
43,33
50,19
50,24
40,35
22,38
33,35
24,25
21,38
30,33
46,43
28,31
41,36
17,19
68,33
27,33
40,33
22,23
40,36
17,21
52,35
54,40
54,33
40,27
45,40
19,36
29,31
40,66
34,43
52,33
53,34
56,34
39,36
22,37
54,30
62,41
41,35
33,36
65,31
84,29
17,21
32,36
57,42
38,23
25,33
42,36
40,47
68,24
25,31
35,37
35,32
50,37
30,32
30,36
46,36
27,26
51,34
39,36
43,33
29,31
46,33
36,31
63,39
23,34
17,40
32,42
44,37
37,40
32,29
48,24
35,35
42,35
53,36
42,17
40,23
30,41
30,36
42,44
58,28
37,36
20,34
52,44
29,23
25,40
53,34
49,38
51,34
42,32
27,38
30,32
50,36
21,35
49,39
59,41
29,28
57,46
61,33
35,42
38,33
45,23
18,19
27,41
39,38
42,44
29,33
65,22
30,28
30,42
61,25
33,28
42,43
34,35
22,38
69,31
41,36
31,37
48,36
52,34
31,27
18,28
62,37
52,42
41,31
34,36
74,43
37,28
34,36
27,27
49,23
43,23
36,41
55,38
45,23
67,24
24,34
30,18
51,38
26,33
39,34
29,41
42,33
37,33
59,33
41,36
64,38
42,36
26,35
21,36
39,24
47,33
22,31
36,35
46,38
38,37
53,41
22,31
51,18
42,33
64,41
42,51
57,35
29,24
28,33
68,39
28,34
18,24
65,46
35,24
45,34
31,28
51,23
39,34
20,23
48,38
49,41
26,31
28,20
37,71
54,34
37,25
21,23
27,25
53,35
47,38
28,24
39,41
63,35
36,33
37,34
34,38
19,34
36,38
35,38
60,40
34,33
34,36
37,25
36,38
41,41
30,23
45,23
42,36
19,31
52,34
29,37
34,31
30,35
20,24
52,41
33,40
38,34
37,32
24,22
34,36
25,25
36,23
38,41
29,43
72,37
38,26
75,45
42,23
21,32
27,27
53,27
19,23
30,34
67,17
25,32
49,43
18,22
21,29
36,26
27,30
21,25
37,34
20,23
17,17
18,33
32,60
62,23
33,38
39,36
36,23
51,36
33,33
21,34
69,42
49,36
67,23
28,30
19,22
56,60
45,21
38,42
43,32
44,45
38,42
26,35
31,34
37,70
32,37
27,31
50,31
31,36
42,40
52,41
36,38
36,32
45,49
32,32
19,23
50,36
60,18
28,34
23,35
18,34
46,23
22,28
51,37
21,35
35,27
48,38
18,30
39,57
25,36
34,33
44,36
24,42
20,33
36,44
31,33
62,40
25,25
21,28
31,36
20,23
48,23
54,35
72,27
23,38
44,35
44,36
25,34
33,17
53,23
46,23
38,35
67,46
24,32
36,28
42,33
45,26
24,38
54,39
47,28
39,28
42,31
34,44
