y_true,y_pred
47,33
40,41
30,25
19,31
58,37
43,33
24,33
26,35
53,53
38,17
28,34
38,40
58,70
33,41
66,38
30,35
18,21
35,23
61,35
74,36
46,33
56,40
28,35
37,33
37,23
28,23
26,46
24,32
70,23
47,36
69,34
24,23
31,32
28,25
51,34
49,23
34,30
29,36
48,40
40,38
50,33
39,38
25,31
30,23
28,17
56,36
37,33
34,33
32,23
28,43
27,17
33,19
52,18
24,31
35,35
35,38
39,47
19,35
59,36
25,35
26,36
32,20
44,25
58,34
29,35
38,33
39,34
33,25
36,35
37,31
24,33
35,25
24,25
35,59
57,36
25,81
22,33
30,31
52,41
72,31
38,36
48,23
58,33
49,35
41,32
29,33
23,36
51,33
46,33
43,31
53,23
26,23
44,34
73,17
40,33
22,23
59,36
24,23
51,35
37,34
54,39
68,23
25,31
26,25
31,23
29,20
51,45
41,33
28,35
30,29
24,23
43,36
30,61
28,37
27,33
64,43
20,33
37,21
31,33
47,33
52,43
44,22
30,22
51,33
24,33
40,36
18,23
40,65
37,23
23,25
19,23
69,36
26,20
46,33
31,31
65,33
39,39
44,36
35,36
75,23
52,31
66,36
34,36
61,28
41,23
39,33
27,35
66,36
33,31
57,35
35,36
42,35
48,17
40,33
30,35
32,61
35,35
23,23
59,75
26,24
28,60
26,46
31,32
34,38
25,31
38,33
49,31
52,36
19,31
42,33
47,33
22,36
49,36
25,31
75,34
52,23
45,36
32,31
37,18
32,36
30,25
49,35
27,34
47,27
57,37
33,33
31,23
21,23
23,46
61,36
28,17
43,33
49,35
45,32
50,82
23,34
76,28
32,34
43,36
50,34
50,33
40,37
22,23
33,23
24,23
21,31
30,23
46,35
28,36
41,33
17,23
68,30
27,35
40,23
22,23
40,31
17,22
52,33
54,41
54,37
40,37
45,36
19,25
29,40
40,82
34,29
52,34
53,31
56,36
39,36
22,23
54,20
62,35
41,31
33,41
65,25
84,34
17,26
32,36
57,40
38,35
25,40
42,40
40,17
68,19
25,33
35,36
35,36
50,36
30,33
30,23
46,31
27,36
51,33
39,36
43,36
29,41
46,34
36,23
63,36
23,31
