y_true,y_pred
47,36
40,25
30,22
19,19
58,32
43,25
24,29
26,36
53,22
38,32
28,31
38,28
58,45
33,58
66,37
30,38
18,17
35,31
61,29
74,30
46,30
56,45
28,25
37,25
37,31
28,43
26,26
24,55
70,46
47,41
69,24
24,24
31,35
28,28
51,31
49,46
34,34
29,19
48,42
40,53
50,49
39,25
25,55
30,32
28,25
56,25
37,35
34,42
32,21
28,28
27,23
33,25
52,40
24,27
35,36
35,35
39,39
19,31
59,64
25,26
26,20
32,20
44,38
58,44
29,17
38,35
39,29
33,28
36,33
37,22
24,21
35,33
24,35
35,29
57,24
25,29
22,20
30,28
52,28
72,51
38,29
48,35
58,45
49,35
41,28
29,25
23,33
51,27
46,48
43,33
53,41
26,22
44,21
73,59
40,25
22,19
59,44
24,19
51,38
37,31
54,45
68,51
25,29
26,24
31,29
29,20
51,47
41,35
28,47
30,54
24,20
43,38
30,29
28,34
27,38
64,30
20,29
37,29
31,21
47,54
52,35
44,51
30,28
51,28
24,25
40,38
18,17
40,38
37,26
23,23
19,22
69,25
26,27
46,41
31,21
65,24
39,30
44,25
35,28
75,35
52,32
66,30
34,39
61,47
41,34
39,34
27,36
66,21
33,47
57,28
35,34
42,29
48,46
40,38
30,35
32,23
35,39
23,31
59,33
26,23
28,53
26,41
31,30
34,40
25,26
38,41
49,28
52,55
19,21
42,49
47,38
22,33
49,39
25,27
75,51
52,38
45,23
32,23
37,39
32,25
30,26
49,28
27,18
47,37
57,28
33,31
31,32
21,21
23,27
61,24
28,32
43,41
49,36
45,24
50,36
23,21
76,31
32,28
43,30
50,23
50,31
40,32
22,19
33,21
24,25
21,21
30,22
46,51
28,19
41,33
17,19
68,58
27,29
40,28
22,22
40,39
17,17
52,24
54,29
54,29
40,19
45,31
19,18
29,34
40,36
34,43
52,25
53,35
56,46
39,32
22,19
54,24
62,30
41,29
33,28
65,26
84,38
17,17
32,25
57,42
38,58
25,32
42,28
40,39
68,28
25,35
35,29
35,28
50,39
30,22
30,19
46,49
27,25
51,18
39,33
43,36
29,22
46,43
36,22
63,44
23,19
17,18
32,38
44,26
37,29
32,24
48,60
35,28
42,32
53,25
42,62
40,39
30,41
30,22
42,55
58,20
37,45
20,21
52,39
29,25
25,34
53,41
49,51
51,41
42,25
27,20
30,33
50,46
21,23
49,42
59,39
29,22
57,26
61,38
35,27
38,25
45,35
18,17
27,36
39,45
42,41
29,37
65,33
30,31
30,26
61,60
33,29
42,46
34,28
22,20
69,35
41,35
31,41
48,31
52,43
31,27
18,18
62,39
52,41
41,21
34,25
74,53
37,24
34,28
27,23
49,35
43,46
36,41
55,42
45,25
67,27
24,23
30,22
51,77
26,23
39,30
29,20
42,35
37,40
59,35
41,29
64,42
42,28
26,25
21,21
39,29
47,54
22,28
36,20
46,36
38,21
53,60
22,24
51,35
42,47
64,19
42,32
57,44
29,31
28,21
68,35
28,39
18,21
65,46
35,30
45,36
31,36
51,23
39,25
20,18
48,19
49,28
26,19
28,30
37,25
54,35
37,18
21,34
27,24
53,35
47,28
28,33
39,38
63,29
36,19
37,28
34,40
19,18
36,43
35,32
60,51
34,52
34,35
37,38
36,45
41,29
30,20
45,38
42,35
19,21
52,19
29,25
34,28
30,32
20,21
52,50
33,38
38,26
37,32
24,21
34,35
25,60
36,35
38,47
29,37
72,45
38,36
75,25
42,25
21,20
27,20
53,36
19,21
30,19
67,45
25,39
49,21
18,18
21,19
36,28
27,41
21,19
37,34
20,19
17,18
18,18
32,37
62,48
33,27
39,45
36,34
51,36
33,38
21,26
69,42
49,20
67,23
28,38
19,19
56,61
45,25
38,46
43,37
44,50
38,35
26,33
31,46
37,35
32,28
27,23
50,43
31,41
42,29
52,37
36,38
36,46
45,24
32,31
19,20
50,28
60,24
28,28
23,23
18,22
46,32
22,26
51,67
21,19
35,22
48,38
18,17
39,60
25,37
34,33
44,22
24,29
20,20
36,20
31,47
62,23
25,27
21,29
31,30
20,19
48,23
54,26
72,27
23,25
44,49
44,46
25,31
33,25
53,43
46,42
38,28
67,41
24,25
36,26
42,46
45,40
24,44
54,30
47,35
39,40
42,26
34,35
24,20
32,30
40,27
44,28
44,22
21,21
38,24
28,25
32,40
29,36
41,25
37,42
19,33
37,46
45,41
57,49
37,23
48,28
33,21
41,46
32,29
19,19
60,23
44,35
39,36
50,47
52,19
73,53
23,37
36,32
33,24
28,25
40,47
48,23
41,50
35,46
28,42
57,56
36,36
20,28
21,20
24,40
32,42
21,25
54,24
26,21
39,51
38,50
26,35
46,29
36,41
42,51
19,30
27,25
57,28
19,20
42,38
26,24
23,18
57,47
21,25
26,36
21,21
31,36
57,38
27,29
37,24
35,46
50,31
28,33
34,36
26,27
51,21
31,20
43,60
34,38
30,28
34,29
45,34
22,20
27,41
54,46
20,28
31,25
32,28
24,25
17,17
29,28
36,35
17,18
21,26
19,19
22,21
51,26
37,31
21,21
22,20
56,18
33,41
41,38
34,28
51,43
35,34
34,46
22,24
47,36
25,25
33,31
47,30
36,30
52,38
55,60
38,28
33,43
39,26
32,26
53,23
60,48
47,38
40,46
32,21
32,25
19,22
28,20
28,19
20,21
33,27
43,36
32,25
26,22
32,39
47,26
73,62
39,38
37,28
47,57
35,32
58,42
47,53
53,57
60,35
43,38
43,38
18,19
20,19
39,25
21,19
33,37
56,48
24,24
40,39
41,33
70,36
26,21
60,27
28,24
23,19
75,34
22,24
52,46
30,38
56,30
30,41
43,41
50,37
34,60
29,35
39,33
21,19
45,25
48,49
57,44
34,60
42,43
74,35
38,36
20,18
40,25
27,20
51,27
28,22
49,34
29,23
33,38
51,30
38,46
46,42
56,25
52,23
56,24
54,40
46,23
27,38
46,31
30,19
60,41
36,28
33,50
46,45
39,26
49,57
32,35
31,38
72,19
49,29
38,39
29,21
40,30
33,25
43,36
29,32
52,44
49,35
31,35
52,46
45,51
46,45
64,36
52,41
31,28
25,20
34,47
43,52
29,23
25,25
25,27
26,30
35,42
17,17
52,45
55,48
42,42
40,40
30,56
20,22
72,35
30,42
58,45
36,23
73,25
46,38
31,48
61,27
35,33
36,29
39,38
45,27
52,51
34,41
54,36
50,28
47,53
39,21
43,31
25,21
20,18
25,23
29,26
27,43
53,44
30,21
51,18
38,23
24,47
29,28
49,36
22,22
35,38
35,40
22,20
36,24
25,22
42,35
50,22
54,20
24,23
22,26
38,28
34,25
21,29
38,34
40,21
54,19
48,28
33,21
21,24
23,33
27,26
40,21
54,25
18,17
46,51
46,25
53,43
46,52
36,49
56,23
34,24
62,24
33,26
46,46
44,23
22,20
28,30
40,22
40,39
23,20
41,43
36,51
47,39
28,42
44,39
59,29
32,30
37,47
43,29
49,20
54,32
27,30
64,29
33,24
25,29
26,28
29,17
36,38
57,55
51,32
49,43
38,24
31,35
33,22
32,34
63,62
50,59
64,38
